dataset_name,n_dimensions,h0_n_features,h0_n_finite,h0_n_infinite,h0_total_persistence,h0_max_persistence,h0_mean_persistence,h0_std_persistence,h0_persistence_entropy,h0_total_lifetime,h0_normalized_persistence,h1_n_features,h1_n_finite,h1_n_infinite,h1_total_persistence,h1_max_persistence,h1_mean_persistence,h1_std_persistence,h1_persistence_entropy,h1_total_lifetime,h1_normalized_persistence,h1_h0_ratio,total_features
petersen_left_hemisphere,2,5000,4999,1,8300.145780056715,4.949726581573486,1.6603612282569944,0.5529479363750159,8.460286301931204,8300.145780056715,1676.8897520432638,2410,2410,0,1160.3008486628532,9.538850784301758,0.4814526342999391,0.47626854677888286,7.389711126334963,1160.3008486628532,45.67281358112351,0.48209641928385677,7410
petersen_right_hemisphere,2,5000,4999,1,8071.716578036547,5.519249439239502,1.6146662488570807,0.5588937492894238,8.457134458991662,8071.716578036547,1462.4663492557693,2300,2300,0,1050.3463257551193,8.471925735473633,0.45667231554570403,0.45650470475385985,7.340113511545551,1050.3463257551193,41.76530296351773,0.46009201840368075,7300
